sample_id	age	genotype	new_annotation	richness
146	6mos	CD70-/-;Bcl6tg/+	21_Cycling MHCII low	4
146	6mos	CD70-/-;Bcl6tg/+	7_Age-associated/autoimmune	25
146	6mos	CD70-/-;Bcl6tg/+	24_Follicular	8
146	6mos	CD70-/-;Bcl6tg/+	27_Light Zone	4
146	6mos	CD70-/-;Bcl6tg/+	25_Ig-restricted	4
146	6mos	CD70-/-;Bcl6tg/+	22_Pre-plasmablasts	6
146	6mos	CD70-/-;Bcl6tg/+	18_Cycling MHCII low	7
146	6mos	CD70-/-;Bcl6tg/+	19_Cycling MHCII low	4
211	6mos	CD70-/-;Bcl6tg/+	7_Age-associated/autoimmune	23
211	6mos	CD70-/-;Bcl6tg/+	17_Ig-restricted	3
211	6mos	CD70-/-;Bcl6tg/+	10_Follicular IFN-stimulated	19
211	6mos	CD70-/-;Bcl6tg/+	3_Atypical CD21lowCD23low	20
211	6mos	CD70-/-;Bcl6tg/+	6_Follicular	14
211	6mos	CD70-/-;Bcl6tg/+	25_Ig-restricted	4
211	6mos	CD70-/-;Bcl6tg/+	0_Follicular	60
211	6mos	CD70-/-;Bcl6tg/+	1_Marginal Zone	63
211	6mos	CD70-/-;Bcl6tg/+	5_Atypical Marginal Zone	10
211	6mos	CD70-/-;Bcl6tg/+	12_Follicular	17
211	6mos	CD70-/-;Bcl6tg/+	23_Ig-restricted	4
211	6mos	CD70-/-;Bcl6tg/+	20_Ig-restricted	6
211	6mos	CD70-/-;Bcl6tg/+	9_Follicular Hspa1+	29
211	6mos	CD70-/-;Bcl6tg/+	4_Atypical CD21-CD23-	5
211	6mos	CD70-/-;Bcl6tg/+	14_Follicular Serpina3+	5
211	6mos	CD70-/-;Bcl6tg/+	8_Age-associated/autoimmune	12
211	6mos	CD70-/-;Bcl6tg/+	2_Transitional (T2)	33
211	6mos	CD70-/-;Bcl6tg/+	11_Follicular	20
211	6mos	CD70-/-;Bcl6tg/+	22_Pre-plasmablasts	6
211	6mos	CD70-/-;Bcl6tg/+	13_Follicular	12
211	6mos	CD70-/-;Bcl6tg/+	16_Other	3
211	6mos	CD70-/-;Bcl6tg/+	21_Cycling MHCII low	4
211	6mos	CD70-/-;Bcl6tg/+	19_Cycling MHCII low	5
211	6mos	CD70-/-;Bcl6tg/+	15_Plasmablasts	6
211	6mos	CD70-/-;Bcl6tg/+	27_Light Zone	4
211	6mos	CD70-/-;Bcl6tg/+	24_Follicular	3
211	6mos	CD70-/-;Bcl6tg/+	18_Cycling MHCII low	4
213	6mos	CD70-/-;Bcl6tg/+	2_Transitional (T2)	50
213	6mos	CD70-/-;Bcl6tg/+	0_Follicular	56
213	6mos	CD70-/-;Bcl6tg/+	5_Atypical Marginal Zone	15
213	6mos	CD70-/-;Bcl6tg/+	3_Atypical CD21lowCD23low	18
213	6mos	CD70-/-;Bcl6tg/+	6_Follicular	16
213	6mos	CD70-/-;Bcl6tg/+	4_Atypical CD21-CD23-	28
213	6mos	CD70-/-;Bcl6tg/+	12_Follicular	18
213	6mos	CD70-/-;Bcl6tg/+	9_Follicular Hspa1+	34
213	6mos	CD70-/-;Bcl6tg/+	16_Other	NA
213	6mos	CD70-/-;Bcl6tg/+	10_Follicular IFN-stimulated	22
213	6mos	CD70-/-;Bcl6tg/+	25_Ig-restricted	NA
213	6mos	CD70-/-;Bcl6tg/+	11_Follicular	12
213	6mos	CD70-/-;Bcl6tg/+	24_Follicular	4
213	6mos	CD70-/-;Bcl6tg/+	1_Marginal Zone	46
213	6mos	CD70-/-;Bcl6tg/+	13_Follicular	6
213	6mos	CD70-/-;Bcl6tg/+	7_Age-associated/autoimmune	26
213	6mos	CD70-/-;Bcl6tg/+	8_Age-associated/autoimmune	13
213	6mos	CD70-/-;Bcl6tg/+	19_Cycling MHCII low	6
213	6mos	CD70-/-;Bcl6tg/+	22_Pre-plasmablasts	13
213	6mos	CD70-/-;Bcl6tg/+	14_Follicular Serpina3+	14
213	6mos	CD70-/-;Bcl6tg/+	18_Cycling MHCII low	6
213	6mos	CD70-/-;Bcl6tg/+	23_Ig-restricted	7
213	6mos	CD70-/-;Bcl6tg/+	20_Ig-restricted	6
213	6mos	CD70-/-;Bcl6tg/+	17_Ig-restricted	NA
213	6mos	CD70-/-;Bcl6tg/+	21_Cycling MHCII low	6
213	6mos	CD70-/-;Bcl6tg/+	27_Light Zone	NA
213	6mos	CD70-/-;Bcl6tg/+	15_Plasmablasts	10
280	6mos	CD70-/-;Bcl6tg/+	0_Follicular	124
280	6mos	CD70-/-;Bcl6tg/+	11_Follicular	24
280	6mos	CD70-/-;Bcl6tg/+	13_Follicular	15
280	6mos	CD70-/-;Bcl6tg/+	1_Marginal Zone	125
280	6mos	CD70-/-;Bcl6tg/+	5_Atypical Marginal Zone	39
280	6mos	CD70-/-;Bcl6tg/+	3_Atypical CD21lowCD23low	36
280	6mos	CD70-/-;Bcl6tg/+	9_Follicular Hspa1+	15
280	6mos	CD70-/-;Bcl6tg/+	6_Follicular	27
280	6mos	CD70-/-;Bcl6tg/+	7_Age-associated/autoimmune	33
280	6mos	CD70-/-;Bcl6tg/+	2_Transitional (T2)	44
280	6mos	CD70-/-;Bcl6tg/+	16_Other	5
280	6mos	CD70-/-;Bcl6tg/+	17_Ig-restricted	8
280	6mos	CD70-/-;Bcl6tg/+	10_Follicular IFN-stimulated	21
280	6mos	CD70-/-;Bcl6tg/+	12_Follicular	26
280	6mos	CD70-/-;Bcl6tg/+	4_Atypical CD21-CD23-	16
280	6mos	CD70-/-;Bcl6tg/+	15_Plasmablasts	14
280	6mos	CD70-/-;Bcl6tg/+	19_Cycling MHCII low	6
280	6mos	CD70-/-;Bcl6tg/+	8_Age-associated/autoimmune	22
280	6mos	CD70-/-;Bcl6tg/+	14_Follicular Serpina3+	8
280	6mos	CD70-/-;Bcl6tg/+	23_Ig-restricted	6
280	6mos	CD70-/-;Bcl6tg/+	20_Ig-restricted	13
280	6mos	CD70-/-;Bcl6tg/+	18_Cycling MHCII low	8
280	6mos	CD70-/-;Bcl6tg/+	27_Light Zone	4
280	6mos	CD70-/-;Bcl6tg/+	25_Ig-restricted	3
280	6mos	CD70-/-;Bcl6tg/+	22_Pre-plasmablasts	15
280	6mos	CD70-/-;Bcl6tg/+	24_Follicular	3
280	6mos	CD70-/-;Bcl6tg/+	21_Cycling MHCII low	NA
072	6mos	CD70-/-;Bcl6tg/+	6_Follicular	20
072	6mos	CD70-/-;Bcl6tg/+	3_Atypical CD21lowCD23low	10
072	6mos	CD70-/-;Bcl6tg/+	7_Age-associated/autoimmune	18
072	6mos	CD70-/-;Bcl6tg/+	5_Atypical Marginal Zone	12
072	6mos	CD70-/-;Bcl6tg/+	11_Follicular	11
072	6mos	CD70-/-;Bcl6tg/+	25_Ig-restricted	5
072	6mos	CD70-/-;Bcl6tg/+	18_Cycling MHCII low	3
072	6mos	CD70-/-;Bcl6tg/+	4_Atypical CD21-CD23-	24
072	6mos	CD70-/-;Bcl6tg/+	14_Follicular Serpina3+	4
072	6mos	CD70-/-;Bcl6tg/+	0_Follicular	67
072	6mos	CD70-/-;Bcl6tg/+	16_Other	6
072	6mos	CD70-/-;Bcl6tg/+	13_Follicular	10
072	6mos	CD70-/-;Bcl6tg/+	10_Follicular IFN-stimulated	19
072	6mos	CD70-/-;Bcl6tg/+	1_Marginal Zone	61
072	6mos	CD70-/-;Bcl6tg/+	2_Transitional (T2)	27
072	6mos	CD70-/-;Bcl6tg/+	27_Light Zone	3
072	6mos	CD70-/-;Bcl6tg/+	8_Age-associated/autoimmune	10
072	6mos	CD70-/-;Bcl6tg/+	20_Ig-restricted	7
072	6mos	CD70-/-;Bcl6tg/+	24_Follicular	7
072	6mos	CD70-/-;Bcl6tg/+	17_Ig-restricted	4
072	6mos	CD70-/-;Bcl6tg/+	12_Follicular	18
072	6mos	CD70-/-;Bcl6tg/+	22_Pre-plasmablasts	10
072	6mos	CD70-/-;Bcl6tg/+	9_Follicular Hspa1+	12
072	6mos	CD70-/-;Bcl6tg/+	21_Cycling MHCII low	3
072	6mos	CD70-/-;Bcl6tg/+	15_Plasmablasts	7
072	6mos	CD70-/-;Bcl6tg/+	23_Ig-restricted	7
072	6mos	CD70-/-;Bcl6tg/+	19_Cycling MHCII low	4
049	14mos	WT	0_Follicular	378
049	14mos	WT	1_Marginal Zone	160
049	14mos	WT	9_Follicular Hspa1+	58
049	14mos	WT	8_Age-associated/autoimmune	30
049	14mos	WT	7_Age-associated/autoimmune	61
049	14mos	WT	10_Follicular IFN-stimulated	63
049	14mos	WT	3_Atypical CD21lowCD23low	88
049	14mos	WT	12_Follicular	57
049	14mos	WT	11_Follicular	56
049	14mos	WT	4_Atypical CD21-CD23-	49
049	14mos	WT	13_Follicular	20
049	14mos	WT	5_Atypical Marginal Zone	46
049	14mos	WT	27_Light Zone	15
049	14mos	WT	2_Transitional (T2)	207
049	14mos	WT	6_Follicular	65
049	14mos	WT	20_Ig-restricted	39
049	14mos	WT	23_Ig-restricted	17
049	14mos	WT	22_Pre-plasmablasts	5
049	14mos	WT	17_Ig-restricted	15
049	14mos	WT	16_Other	8
049	14mos	WT	19_Cycling MHCII low	5
049	14mos	WT	24_Follicular	25
049	14mos	WT	25_Ig-restricted	12
049	14mos	WT	15_Plasmablasts	22
049	14mos	WT	18_Cycling MHCII low	16
049	14mos	WT	14_Follicular Serpina3+	15
049	14mos	WT	21_Cycling MHCII low	6
051	14mos	WT	2_Transitional (T2)	90
051	14mos	WT	0_Follicular	286
051	14mos	WT	10_Follicular IFN-stimulated	28
051	14mos	WT	9_Follicular Hspa1+	74
051	14mos	WT	12_Follicular	35
051	14mos	WT	25_Ig-restricted	7
051	14mos	WT	5_Atypical Marginal Zone	21
051	14mos	WT	11_Follicular	41
051	14mos	WT	24_Follicular	14
051	14mos	WT	6_Follicular	64
051	14mos	WT	4_Atypical CD21-CD23-	30
051	14mos	WT	20_Ig-restricted	21
051	14mos	WT	7_Age-associated/autoimmune	14
051	14mos	WT	1_Marginal Zone	88
051	14mos	WT	13_Follicular	25
051	14mos	WT	14_Follicular Serpina3+	8
051	14mos	WT	3_Atypical CD21lowCD23low	48
051	14mos	WT	17_Ig-restricted	11
051	14mos	WT	27_Light Zone	7
051	14mos	WT	23_Ig-restricted	14
051	14mos	WT	16_Other	6
051	14mos	WT	18_Cycling MHCII low	5
051	14mos	WT	19_Cycling MHCII low	9
051	14mos	WT	21_Cycling MHCII low	3
051	14mos	WT	22_Pre-plasmablasts	NA
051	14mos	WT	15_Plasmablasts	15
051	14mos	WT	8_Age-associated/autoimmune	9
113	14mos	WT	2_Transitional (T2)	76
113	14mos	WT	0_Follicular	116
113	14mos	WT	16_Other	16
113	14mos	WT	20_Ig-restricted	16
113	14mos	WT	1_Marginal Zone	40
113	14mos	WT	14_Follicular Serpina3+	9
113	14mos	WT	5_Atypical Marginal Zone	8
113	14mos	WT	11_Follicular	27
113	14mos	WT	6_Follicular	24
113	14mos	WT	7_Age-associated/autoimmune	16
113	14mos	WT	13_Follicular	21
113	14mos	WT	10_Follicular IFN-stimulated	21
113	14mos	WT	9_Follicular Hspa1+	13
113	14mos	WT	12_Follicular	21
113	14mos	WT	24_Follicular	5
113	14mos	WT	19_Cycling MHCII low	NA
113	14mos	WT	15_Plasmablasts	8
113	14mos	WT	3_Atypical CD21lowCD23low	26
113	14mos	WT	23_Ig-restricted	9
113	14mos	WT	27_Light Zone	6
113	14mos	WT	17_Ig-restricted	6
113	14mos	WT	25_Ig-restricted	5
113	14mos	WT	8_Age-associated/autoimmune	9
113	14mos	WT	18_Cycling MHCII low	NA
113	14mos	WT	4_Atypical CD21-CD23-	10
113	14mos	WT	22_Pre-plasmablasts	NA
113	14mos	WT	21_Cycling MHCII low	NA
115	14mos	WT	0_Follicular	57
115	14mos	WT	16_Other	14
115	14mos	WT	9_Follicular Hspa1+	13
115	14mos	WT	20_Ig-restricted	7
115	14mos	WT	25_Ig-restricted	NA
115	14mos	WT	7_Age-associated/autoimmune	9
115	14mos	WT	18_Cycling MHCII low	NA
115	14mos	WT	4_Atypical CD21-CD23-	12
115	14mos	WT	6_Follicular	21
115	14mos	WT	10_Follicular IFN-stimulated	7
115	14mos	WT	3_Atypical CD21lowCD23low	18
115	14mos	WT	2_Transitional (T2)	21
115	14mos	WT	13_Follicular	9
115	14mos	WT	24_Follicular	4
115	14mos	WT	1_Marginal Zone	38
115	14mos	WT	17_Ig-restricted	5
115	14mos	WT	14_Follicular Serpina3+	8
115	14mos	WT	12_Follicular	9
115	14mos	WT	11_Follicular	10
115	14mos	WT	5_Atypical Marginal Zone	10
115	14mos	WT	23_Ig-restricted	NA
115	14mos	WT	8_Age-associated/autoimmune	8
115	14mos	WT	15_Plasmablasts	NA
115	14mos	WT	27_Light Zone	4
115	14mos	WT	19_Cycling MHCII low	NA
115	14mos	WT	22_Pre-plasmablasts	NA
115	14mos	WT	21_Cycling MHCII low	NA
118	14mos	WT	16_Other	7
118	14mos	WT	0_Follicular	261
118	14mos	WT	6_Follicular	47
118	14mos	WT	11_Follicular	53
118	14mos	WT	3_Atypical CD21lowCD23low	41
118	14mos	WT	14_Follicular Serpina3+	8
118	14mos	WT	1_Marginal Zone	78
118	14mos	WT	24_Follicular	8
118	14mos	WT	9_Follicular Hspa1+	35
118	14mos	WT	15_Plasmablasts	30
118	14mos	WT	2_Transitional (T2)	130
118	14mos	WT	10_Follicular IFN-stimulated	37
118	14mos	WT	12_Follicular	39
118	14mos	WT	8_Age-associated/autoimmune	31
118	14mos	WT	13_Follicular	18
118	14mos	WT	20_Ig-restricted	16
118	14mos	WT	7_Age-associated/autoimmune	25
118	14mos	WT	19_Cycling MHCII low	3
118	14mos	WT	23_Ig-restricted	11
118	14mos	WT	4_Atypical CD21-CD23-	33
118	14mos	WT	18_Cycling MHCII low	8
118	14mos	WT	27_Light Zone	5
118	14mos	WT	5_Atypical Marginal Zone	21
118	14mos	WT	17_Ig-restricted	13
118	14mos	WT	25_Ig-restricted	7
118	14mos	WT	21_Cycling MHCII low	NA
118	14mos	WT	22_Pre-plasmablasts	NA
129	14mos	WT	6_Follicular	37
129	14mos	WT	2_Transitional (T2)	77
129	14mos	WT	9_Follicular Hspa1+	26
129	14mos	WT	1_Marginal Zone	75
129	14mos	WT	0_Follicular	228
129	14mos	WT	18_Cycling MHCII low	5
129	14mos	WT	4_Atypical CD21-CD23-	33
129	14mos	WT	11_Follicular	42
129	14mos	WT	8_Age-associated/autoimmune	27
129	14mos	WT	12_Follicular	31
129	14mos	WT	13_Follicular	20
129	14mos	WT	23_Ig-restricted	12
129	14mos	WT	27_Light Zone	17
129	14mos	WT	3_Atypical CD21lowCD23low	40
129	14mos	WT	10_Follicular IFN-stimulated	28
129	14mos	WT	17_Ig-restricted	8
129	14mos	WT	20_Ig-restricted	17
129	14mos	WT	7_Age-associated/autoimmune	36
129	14mos	WT	14_Follicular Serpina3+	7
129	14mos	WT	5_Atypical Marginal Zone	17
129	14mos	WT	16_Other	16
129	14mos	WT	25_Ig-restricted	4
129	14mos	WT	24_Follicular	12
129	14mos	WT	15_Plasmablasts	20
129	14mos	WT	19_Cycling MHCII low	4
129	14mos	WT	21_Cycling MHCII low	NA
129	14mos	WT	22_Pre-plasmablasts	3
079	14mos	CD70-/-	0_Follicular	394
079	14mos	CD70-/-	2_Transitional (T2)	212
079	14mos	CD70-/-	17_Ig-restricted	19
079	14mos	CD70-/-	13_Follicular	33
079	14mos	CD70-/-	6_Follicular	75
079	14mos	CD70-/-	11_Follicular	89
079	14mos	CD70-/-	27_Light Zone	21
079	14mos	CD70-/-	3_Atypical CD21lowCD23low	81
079	14mos	CD70-/-	1_Marginal Zone	142
079	14mos	CD70-/-	9_Follicular Hspa1+	55
079	14mos	CD70-/-	10_Follicular IFN-stimulated	60
079	14mos	CD70-/-	4_Atypical CD21-CD23-	48
079	14mos	CD70-/-	5_Atypical Marginal Zone	34
079	14mos	CD70-/-	12_Follicular	59
079	14mos	CD70-/-	20_Ig-restricted	33
079	14mos	CD70-/-	7_Age-associated/autoimmune	36
079	14mos	CD70-/-	8_Age-associated/autoimmune	22
079	14mos	CD70-/-	18_Cycling MHCII low	10
079	14mos	CD70-/-	14_Follicular Serpina3+	10
079	14mos	CD70-/-	16_Other	18
079	14mos	CD70-/-	15_Plasmablasts	19
079	14mos	CD70-/-	21_Cycling MHCII low	5
079	14mos	CD70-/-	25_Ig-restricted	19
079	14mos	CD70-/-	24_Follicular	18
079	14mos	CD70-/-	19_Cycling MHCII low	6
079	14mos	CD70-/-	23_Ig-restricted	22
079	14mos	CD70-/-	22_Pre-plasmablasts	NA
010b	14mos	CD70-/-	23_Ig-restricted	12
010b	14mos	CD70-/-	2_Transitional (T2)	79
010b	14mos	CD70-/-	0_Follicular	196
010b	14mos	CD70-/-	4_Atypical CD21-CD23-	39
010b	14mos	CD70-/-	6_Follicular	57
010b	14mos	CD70-/-	3_Atypical CD21lowCD23low	43
010b	14mos	CD70-/-	1_Marginal Zone	82
010b	14mos	CD70-/-	12_Follicular	33
010b	14mos	CD70-/-	11_Follicular	39
010b	14mos	CD70-/-	13_Follicular	20
010b	14mos	CD70-/-	9_Follicular Hspa1+	73
010b	14mos	CD70-/-	24_Follicular	11
010b	14mos	CD70-/-	16_Other	6
010b	14mos	CD70-/-	20_Ig-restricted	15
010b	14mos	CD70-/-	10_Follicular IFN-stimulated	21
010b	14mos	CD70-/-	8_Age-associated/autoimmune	8
010b	14mos	CD70-/-	15_Plasmablasts	10
010b	14mos	CD70-/-	7_Age-associated/autoimmune	23
010b	14mos	CD70-/-	17_Ig-restricted	9
010b	14mos	CD70-/-	5_Atypical Marginal Zone	27
010b	14mos	CD70-/-	18_Cycling MHCII low	3
010b	14mos	CD70-/-	25_Ig-restricted	5
010b	14mos	CD70-/-	27_Light Zone	6
010b	14mos	CD70-/-	14_Follicular Serpina3+	8
010b	14mos	CD70-/-	22_Pre-plasmablasts	3
010b	14mos	CD70-/-	19_Cycling MHCII low	NA
010b	14mos	CD70-/-	21_Cycling MHCII low	3
008	14mos	CD70-/-	1_Marginal Zone	108
008	14mos	CD70-/-	0_Follicular	221
008	14mos	CD70-/-	2_Transitional (T2)	168
008	14mos	CD70-/-	6_Follicular	77
008	14mos	CD70-/-	12_Follicular	44
008	14mos	CD70-/-	7_Age-associated/autoimmune	55
008	14mos	CD70-/-	14_Follicular Serpina3+	13
008	14mos	CD70-/-	3_Atypical CD21lowCD23low	62
008	14mos	CD70-/-	22_Pre-plasmablasts	6
008	14mos	CD70-/-	17_Ig-restricted	13
008	14mos	CD70-/-	10_Follicular IFN-stimulated	66
008	14mos	CD70-/-	25_Ig-restricted	14
008	14mos	CD70-/-	9_Follicular Hspa1+	72
008	14mos	CD70-/-	11_Follicular	32
008	14mos	CD70-/-	8_Age-associated/autoimmune	37
008	14mos	CD70-/-	4_Atypical CD21-CD23-	46
008	14mos	CD70-/-	13_Follicular	27
008	14mos	CD70-/-	27_Light Zone	10
008	14mos	CD70-/-	5_Atypical Marginal Zone	29
008	14mos	CD70-/-	15_Plasmablasts	27
008	14mos	CD70-/-	16_Other	8
008	14mos	CD70-/-	18_Cycling MHCII low	11
008	14mos	CD70-/-	19_Cycling MHCII low	3
008	14mos	CD70-/-	24_Follicular	11
008	14mos	CD70-/-	23_Ig-restricted	17
008	14mos	CD70-/-	20_Ig-restricted	28
008	14mos	CD70-/-	21_Cycling MHCII low	3
075	14mos	CD70-/-	23_Ig-restricted	9
075	14mos	CD70-/-	18_Cycling MHCII low	9
075	14mos	CD70-/-	5_Atypical Marginal Zone	6
075	14mos	CD70-/-	20_Ig-restricted	13
075	14mos	CD70-/-	0_Follicular	97
075	14mos	CD70-/-	6_Follicular	11
075	14mos	CD70-/-	8_Age-associated/autoimmune	31
075	14mos	CD70-/-	22_Pre-plasmablasts	2
075	14mos	CD70-/-	2_Transitional (T2)	97
075	14mos	CD70-/-	3_Atypical CD21lowCD23low	11
075	14mos	CD70-/-	1_Marginal Zone	6
075	14mos	CD70-/-	19_Cycling MHCII low	3
075	14mos	CD70-/-	21_Cycling MHCII low	2
075	14mos	CD70-/-	12_Follicular	23
075	14mos	CD70-/-	25_Ig-restricted	3
075	14mos	CD70-/-	7_Age-associated/autoimmune	35
075	14mos	CD70-/-	4_Atypical CD21-CD23-	6
075	14mos	CD70-/-	17_Ig-restricted	9
075	14mos	CD70-/-	13_Follicular	7
075	14mos	CD70-/-	14_Follicular Serpina3+	13
075	14mos	CD70-/-	24_Follicular	6
075	14mos	CD70-/-	16_Other	3
075	14mos	CD70-/-	27_Light Zone	7
075	14mos	CD70-/-	10_Follicular IFN-stimulated	13
075	14mos	CD70-/-	15_Plasmablasts	2
075	14mos	CD70-/-	11_Follicular	16
075	14mos	CD70-/-	9_Follicular Hspa1+	6
076	14mos	CD70-/-	2_Transitional (T2)	22
076	14mos	CD70-/-	16_Other	10
076	14mos	CD70-/-	3_Atypical CD21lowCD23low	9
076	14mos	CD70-/-	1_Marginal Zone	13
076	14mos	CD70-/-	8_Age-associated/autoimmune	12
076	14mos	CD70-/-	11_Follicular	8
076	14mos	CD70-/-	0_Follicular	27
076	14mos	CD70-/-	4_Atypical CD21-CD23-	4
076	14mos	CD70-/-	13_Follicular	7
076	14mos	CD70-/-	6_Follicular	7
076	14mos	CD70-/-	7_Age-associated/autoimmune	11
076	14mos	CD70-/-	12_Follicular	5
076	14mos	CD70-/-	10_Follicular IFN-stimulated	5
076	14mos	CD70-/-	15_Plasmablasts	14
076	14mos	CD70-/-	9_Follicular Hspa1+	3
076	14mos	CD70-/-	23_Ig-restricted	4
076	14mos	CD70-/-	14_Follicular Serpina3+	NA
076	14mos	CD70-/-	24_Follicular	NA
076	14mos	CD70-/-	25_Ig-restricted	NA
076	14mos	CD70-/-	5_Atypical Marginal Zone	3
076	14mos	CD70-/-	19_Cycling MHCII low	NA
076	14mos	CD70-/-	27_Light Zone	NA
076	14mos	CD70-/-	18_Cycling MHCII low	NA
076	14mos	CD70-/-	20_Ig-restricted	NA
076	14mos	CD70-/-	17_Ig-restricted	NA
076	14mos	CD70-/-	21_Cycling MHCII low	NA
076	14mos	CD70-/-	22_Pre-plasmablasts	NA
126	14mos	CD70-/-	10_Follicular IFN-stimulated	14
126	14mos	CD70-/-	8_Age-associated/autoimmune	22
126	14mos	CD70-/-	24_Follicular	9
126	14mos	CD70-/-	11_Follicular	25
126	14mos	CD70-/-	25_Ig-restricted	6
126	14mos	CD70-/-	1_Marginal Zone	53
126	14mos	CD70-/-	9_Follicular Hspa1+	36
126	14mos	CD70-/-	2_Transitional (T2)	40
126	14mos	CD70-/-	0_Follicular	124
126	14mos	CD70-/-	6_Follicular	27
126	14mos	CD70-/-	17_Ig-restricted	9
126	14mos	CD70-/-	3_Atypical CD21lowCD23low	15
126	14mos	CD70-/-	7_Age-associated/autoimmune	26
126	14mos	CD70-/-	12_Follicular	17
126	14mos	CD70-/-	4_Atypical CD21-CD23-	22
126	14mos	CD70-/-	23_Ig-restricted	4
126	14mos	CD70-/-	13_Follicular	15
126	14mos	CD70-/-	22_Pre-plasmablasts	3
126	14mos	CD70-/-	20_Ig-restricted	11
126	14mos	CD70-/-	14_Follicular Serpina3+	7
126	14mos	CD70-/-	5_Atypical Marginal Zone	9
126	14mos	CD70-/-	16_Other	5
126	14mos	CD70-/-	15_Plasmablasts	18
126	14mos	CD70-/-	27_Light Zone	3
126	14mos	CD70-/-	18_Cycling MHCII low	4
126	14mos	CD70-/-	19_Cycling MHCII low	2
126	14mos	CD70-/-	21_Cycling MHCII low	NA
035	14mos	Bcl6tg/+	5_Atypical Marginal Zone	3
035	14mos	Bcl6tg/+	6_Follicular	6
035	14mos	Bcl6tg/+	10_Follicular IFN-stimulated	8
035	14mos	Bcl6tg/+	9_Follicular Hspa1+	11
035	14mos	Bcl6tg/+	0_Follicular	25
035	14mos	Bcl6tg/+	11_Follicular	4
035	14mos	Bcl6tg/+	14_Follicular Serpina3+	20
035	14mos	Bcl6tg/+	8_Age-associated/autoimmune	3
035	14mos	Bcl6tg/+	18_Cycling MHCII low	NA
035	14mos	Bcl6tg/+	3_Atypical CD21lowCD23low	3
035	14mos	Bcl6tg/+	13_Follicular	3
035	14mos	Bcl6tg/+	21_Cycling MHCII low	NA
035	14mos	Bcl6tg/+	20_Ig-restricted	NA
035	14mos	Bcl6tg/+	12_Follicular	7
035	14mos	Bcl6tg/+	17_Ig-restricted	NA
035	14mos	Bcl6tg/+	1_Marginal Zone	12
035	14mos	Bcl6tg/+	4_Atypical CD21-CD23-	NA
035	14mos	Bcl6tg/+	22_Pre-plasmablasts	NA
035	14mos	Bcl6tg/+	2_Transitional (T2)	3
035	14mos	Bcl6tg/+	19_Cycling MHCII low	NA
035	14mos	Bcl6tg/+	23_Ig-restricted	NA
035	14mos	Bcl6tg/+	16_Other	3
035	14mos	Bcl6tg/+	15_Plasmablasts	NA
035	14mos	Bcl6tg/+	7_Age-associated/autoimmune	NA
035	14mos	Bcl6tg/+	27_Light Zone	3
035	14mos	Bcl6tg/+	25_Ig-restricted	NA
035	14mos	Bcl6tg/+	24_Follicular	NA
031	14mos	Bcl6tg/+	2_Transitional (T2)	27
031	14mos	Bcl6tg/+	8_Age-associated/autoimmune	2
031	14mos	Bcl6tg/+	1_Marginal Zone	17
031	14mos	Bcl6tg/+	14_Follicular Serpina3+	29
031	14mos	Bcl6tg/+	9_Follicular Hspa1+	10
031	14mos	Bcl6tg/+	24_Follicular	NA
031	14mos	Bcl6tg/+	10_Follicular IFN-stimulated	11
031	14mos	Bcl6tg/+	13_Follicular	3
031	14mos	Bcl6tg/+	16_Other	NA
031	14mos	Bcl6tg/+	11_Follicular	4
031	14mos	Bcl6tg/+	6_Follicular	5
031	14mos	Bcl6tg/+	4_Atypical CD21-CD23-	4
031	14mos	Bcl6tg/+	7_Age-associated/autoimmune	2
031	14mos	Bcl6tg/+	20_Ig-restricted	NA
031	14mos	Bcl6tg/+	0_Follicular	33
031	14mos	Bcl6tg/+	5_Atypical Marginal Zone	7
031	14mos	Bcl6tg/+	3_Atypical CD21lowCD23low	8
031	14mos	Bcl6tg/+	22_Pre-plasmablasts	3
031	14mos	Bcl6tg/+	12_Follicular	NA
031	14mos	Bcl6tg/+	23_Ig-restricted	NA
031	14mos	Bcl6tg/+	19_Cycling MHCII low	5
031	14mos	Bcl6tg/+	21_Cycling MHCII low	2
031	14mos	Bcl6tg/+	18_Cycling MHCII low	2
031	14mos	Bcl6tg/+	27_Light Zone	NA
031	14mos	Bcl6tg/+	17_Ig-restricted	3
031	14mos	Bcl6tg/+	15_Plasmablasts	7
031	14mos	Bcl6tg/+	25_Ig-restricted	NA
032b	14mos	Bcl6tg/+	8_Age-associated/autoimmune	2
032b	14mos	Bcl6tg/+	14_Follicular Serpina3+	10
032b	14mos	Bcl6tg/+	17_Ig-restricted	NA
032b	14mos	Bcl6tg/+	1_Marginal Zone	4
032b	14mos	Bcl6tg/+	2_Transitional (T2)	NA
032b	14mos	Bcl6tg/+	10_Follicular IFN-stimulated	4
032b	14mos	Bcl6tg/+	0_Follicular	5
032b	14mos	Bcl6tg/+	7_Age-associated/autoimmune	3
032b	14mos	Bcl6tg/+	9_Follicular Hspa1+	NA
032b	14mos	Bcl6tg/+	12_Follicular	5
032b	14mos	Bcl6tg/+	3_Atypical CD21lowCD23low	2
032b	14mos	Bcl6tg/+	6_Follicular	NA
032b	14mos	Bcl6tg/+	21_Cycling MHCII low	2
032b	14mos	Bcl6tg/+	5_Atypical Marginal Zone	NA
032b	14mos	Bcl6tg/+	24_Follicular	NA
032b	14mos	Bcl6tg/+	4_Atypical CD21-CD23-	5
032b	14mos	Bcl6tg/+	16_Other	NA
